job_name,task,condition,step_id,t_sec,prompt_tokens,completion_tokens,cached_tokens,thinking_tokens,is_sidechain,stop_reason,n_tool_calls
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,2,2.823,30945,303,22262,71,False,tool_use,2
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,3,7.863,31651,246,30943,91,False,tool_use,2
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,4,40.597,34050,2918,31649,2577,False,tool_use,4
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,5,52.244,39169,961,34048,690,False,tool_use,3
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,6,56.677,41308,393,39167,0,False,tool_use,3
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,7,62.821,42659,391,41306,231,False,tool_use,2
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,8,104.834,45378,414,42657,0,False,tool_use,2
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,9,109.626,46016,200,45376,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,10,112.65,46446,142,46014,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,11,114.522,46714,101,46444,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,12,142.601,48658,247,46712,69,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,13,146.081,49160,216,48656,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,14,149.517,49598,124,49158,47,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,15,152.124,49807,127,49596,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,16,154.894,50051,195,49805,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,17,157.808,50792,242,50049,39,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,18,166.758,52376,589,50790,515,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,19,170.26,53022,623,52374,133,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,20,178.011,54486,849,53020,226,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,21,183.459,55390,212,54484,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,22,192.266,55723,575,55388,456,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,23,196.054,56410,223,55721,142,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,24,201.571,58178,297,56408,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,25,205.982,58823,140,58176,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,26,213.046,60672,463,58821,215,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,27,224.524,61435,847,60670,768,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,28,227.591,63922,366,61433,102,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,29,236.094,64815,390,63920,289,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,30,240.087,65389,228,64813,114,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,31,244.571,66380,322,65387,208,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,32,251.611,67136,759,66378,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,33,253.853,68011,327,67134,0,False,tool_use,1
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,34,258.416,68432,171,68009,0,False,tool_use,1
