job_name,task,condition,step_id,t_sec,tool,bash_class,is_sidechain
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,2,2.823,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,2,2.823,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,3,7.863,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,3,7.863,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,4,40.597,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,4,40.597,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,4,40.597,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,4,40.597,Bash,test,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,5,52.244,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,5,52.244,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,5,52.244,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,6,56.677,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,6,56.677,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,6,56.677,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,7,62.821,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,7,62.821,Bash,test,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,8,104.834,Edit,,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,8,104.834,Edit,,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,9,109.626,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,10,112.65,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,11,114.522,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,12,142.601,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,13,146.081,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,14,149.517,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,15,152.124,Edit,,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,16,154.894,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,17,157.808,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,18,166.758,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,19,170.26,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,20,178.011,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,21,183.459,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,22,192.266,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,23,196.054,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,24,201.571,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,25,205.982,Bash,test,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,26,213.046,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,27,224.524,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,28,227.591,Bash,other,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,29,236.094,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,30,240.087,Read,,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,31,244.571,Read,,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,32,251.611,Edit,,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,33,253.853,Edit,,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,34,258.416,Bash,inspect,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,35,261.795,Bash,test,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,36,266.801,Bash,build,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,37,271.728,Bash,test,False
prog16-claude-baseline-build-cython-ext,build-cython-ext,baseline,38,276.448,Bash,build,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,2,3.53,Bash,build,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,3,7.418,Bash,build,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,4,12.968,Bash,inspect,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,5,16.9,Bash,build,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,6,31.905,Bash,build,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,7,37.83,Bash,build,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,8,42.4,Bash,inspect,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,9,45.396,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,10,48.558,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,11,51.097,Bash,inspect,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,12,55.639,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,13,62.653,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,14,67.261,Read,,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,15,72.242,Edit,,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,16,74.476,Bash,build,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,17,77.873,Bash,inspect,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,18,80.09,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,19,82.609,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,20,86.496,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,21,90.435,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,22,93.021,Bash,other,False
prog16-claude-baseline-build-pmars,build-pmars,baseline,23,96.097,Bash,other,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,2,21.677,Bash,other,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,3,34.988,Write,,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,4,38.571,Write,,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,5,43.384,Bash,test,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,6,46.253,Edit,,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,7,48.299,Bash,test,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,8,86.285,Bash,inspect,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,9,139.554,Bash,inspect,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,10,185.415,Bash,inspect,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,11,202.993,Write,,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,12,206.982,Bash,test,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,13,218.285,Bash,test,False
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks,baseline,14,238.228,Bash,test,False
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,2,4.503,Read,,False
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,2,4.503,Read,,False
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,4,1141.064,Bash,build,False
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,5,1144.537,Bash,test,False
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt,baseline,6,1151.602,Bash,other,False
