job_name,trial_name,task,condition,agent,model,reward,success,exception_type,agent_timeout,verifier_timeout,cost_usd,input_tokens,output_tokens,cache_tokens,env_setup_sec,agent_setup_sec,agent_sec,verifier_sec,wall_sec,tests_total,tests_passed,tests_failed,tests_skipped,partial_credit,ctrf_found,n_steps,n_llm_calls,n_tool_calls,thinking_tokens,sidechain_steps,sidechain_share,n_agent_spawns,n_skill_calls,skills_called,skill_call_sequence,n_bash,bash_test,bash_build,bash_inspect,bash_other,n_read,n_edit,n_write,n_edits_total,files_touched,edits_per_file,wrote_test_file,time_to_first_edit_sec,explore_share,error_observations,error_rate,config_markers,n_config_reads,traj_span_sec,trajectory_found,skills_registered,n_skills_registered,toolkit_skills,n_toolkit_skills,n_toolkit_skills_registered,n_toolkit_skill_calls,n_foreign_skill_calls,used_toolkit_skill,cache_hit_ratio,thinking_share,difficulty,category,axes,expert_min,budget_sec,instruction_words,requirement_lines,test_code_bytes,requires_own_tests,budget_used
prog16-claude-baseline-build-cython-ext,build-cython-ext__KbQSrZD,build-cython-ext,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,0.7730429999999999,2088515,16420,2038175,1.883375,42.964553,288.952107,5.006017,350.514773,11,11,0,0,1.0,True,38,38,48,6983,0,0.0,0,0,,,41,5,13,14,9,2,5,0,5,3,1.6666666666666667,False,104.834,0.15789473684210525,8,0.21621621621621623,,0,287.907,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.975896749604384,0.4252740560292326,medium,debugging,diagnose-first;modify-existing;environment-engineering,60.0,900.0,223,0,6367,False,0.3210578966666667
prog16-claude-baseline-build-pmars,build-pmars__g9AaUCp,build-pmars,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,0.3068022,898059,5110,878011,1.904665,110.515486,107.602066,5.394274,237.333534,4,4,0,0,1.0,True,23,23,22,1827,0,0.0,0,0,,,20,0,6,4,10,1,1,0,1,1,1.0,False,72.242,0.5652173913043478,4,0.18181818181818182,,0,103.01,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9776762996640532,0.35753424657534244,medium,software-engineering,diagnose-first;environment-engineering,90.0,900.0,84,0,3546,False,0.1195578511111111
prog16-claude-baseline-cancel-async-tasks,cancel-async-tasks__QPPhCv3,cancel-async-tasks,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,0.46959380000000006,615078,22139,582119,1.274597,65.651912,247.173616,18.015275,343.990306,6,6,0,0,1.0,True,14,14,13,18856,0,0.0,0,0,,,9,5,0,3,1,0,1,3,4,3,1.3333333333333333,True,34.988,0.07142857142857142,6,0.46153846153846156,,0,246.136,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9464149262369976,0.8517096526491712,hard,software-engineering,greenfield-algorithmic,120.0,900.0,88,0,5565,False,0.2746373511111111
prog16-claude-baseline-circuit-fibsqrt,circuit-fibsqrt__P3W4dC3,circuit-fibsqrt,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,1.5278714,812761,112656,749917,1.709086,55.49045,1339.40621,5.153988,1413.390689,3,3,0,0,1.0,True,12,12,11,107432,0,0.0,0,0,,,8,1,2,0,5,2,0,1,1,1,1.0,False,1230.818,0.4166666666666667,0,0.0,,0,1332.852,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9226783765461187,0.9536287459167732,hard,software-engineering,long-horizon;verification-heavy;greenfield-algorithmic,960.0,3600.0,140,0,13780,False,0.3720572805555556
prog16-claude-baseline-custom-memory-heap-crash,custom-memory-heap-crash__yKj79x4,custom-memory-heap-crash,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,1.4591025999999998,2996135,49880,2901073,7.3693,129.018886,628.606993,13.424698,790.15677,6,6,0,0,1.0,True,40,40,39,39845,0,0.0,0,0,,,35,0,29,6,0,2,2,0,2,1,2.0,False,80.606,0.15,18,0.46153846153846156,,0,627.54,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.968271790156318,0.7988171611868484,medium,debugging,diagnose-first;modify-existing,30.0,1800.0,130,2,6839,False,0.3492261072222222
prog16-claude-baseline-fix-ocaml-gc,fix-ocaml-gc__b73pMMv,fix-ocaml-gc,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,0.4685136,1029213,9978,986328,1.907336,113.275494,157.39114,570.541767,855.497921,1,1,0,0,1.0,True,18,18,20,6827,0,0.0,0,0,,,15,0,1,10,4,4,1,0,1,1,1.0,False,113.208,0.5555555555555556,4,0.23529411764705882,,0,150.339,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9583322402651346,0.6842052515534175,hard,software-engineering,long-horizon;diagnose-first;modify-existing,1440.0,3600.0,76,0,1969,False,0.043719761111111116
prog16-claude-baseline-kv-store-grpc,kv-store-grpc__kXYVHd2,kv-store-grpc,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,0.1242678,338038,2258,329059,1.867251,66.893324,41.803116,3.368115,125.810834,7,7,0,0,1.0,True,10,10,9,126,0,0.0,0,0,,,6,0,1,1,4,1,0,2,2,2,1.0,False,14.253,0.2,1,0.1111111111111111,,0,40.819,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9734378975144806,0.05580159433126661,medium,software-engineering,quick,15.0,900.0,185,5,6371,False,0.04644790666666667
prog16-claude-baseline-make-mips-interpreter,make-mips-interpreter__LTDTHK6,make-mips-interpreter,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,2.7684507999999997,5372080,93943,5186829,2.165865,49.745856,1264.779181,8.817325,1337.263096,3,3,0,0,1.0,True,38,38,49,73265,0,0.0,0,0,,,31,0,2,11,18,10,2,4,6,4,1.5,False,112.193,0.2894736842105263,4,0.10810810810810811,,0,1263.594,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9655159640213846,0.7798878043068669,hard,software-engineering,long-horizon;greenfield-algorithmic,480.0,1800.0,83,0,4311,False,0.7026551005555556
prog16-claude-baseline-path-tracing,path-tracing__hLbLWcM,path-tracing,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,3.4203295999999996,8468909,117271,8323078,2.093732,108.030557,1760.643028,21.89054,1904.417534,5,5,0,0,1.0,True,80,80,79,76062,0,0.0,0,0,,,74,13,3,4,54,2,2,1,3,1,3.0,False,1697.16,0.875,4,0.05063291139240506,,0,1759.678,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.982780426616935,0.648600250701367,hard,software-engineering,long-horizon;greenfield-algorithmic,360.0,1800.0,143,0,4822,False,0.9781350155555555
prog16-claude-baseline-path-tracing-reverse,path-tracing-reverse__K7QdQkY,path-tracing-reverse,baseline,claude-code,claude-sonnet-5,1.0,True,,False,False,3.0363143000000004,3829619,137534,3492989,1.295896,85.317292,1509.458352,10.321359,1618.400138,3,3,0,0,1.0,True,46,46,49,115268,23,0.5,1,0,,,39,0,1,14,24,5,0,1,1,1,1.0,False,1469.641,0.9130434782608695,4,0.09090909090909091,,0,1508.373,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.9120983053405574,0.8381054866433028,hard,software-engineering,modify-existing,120.0,1800.0,87,0,4076,False,0.8385879733333333
prog16-claude-baseline-polyglot-rust-c,polyglot-rust-c__qkWDYCs,polyglot-rust-c,baseline,claude-code,claude-sonnet-5,0.0,False,,False,False,1.0001126,502143,64336,434683,1.825217,81.132481,736.94106,7.353823,839.083111,1,0,1,0,0.0,True,6,6,6,62690,0,0.0,0,0,,,5,0,0,0,5,0,0,1,1,1,1.0,False,718.916,0.16666666666666666,0,0.0,,0,736.04,True,batch;claude-api;code-review;dataviz;debug;deep-research;doctor;fewer-permission-prompts;loop;run;run-skill-generator;simplify;update-config;verify,14,,0,0,0,0,False,0.8656557992444384,0.9744155682666004,hard,software-engineering,underspecified;greenfield-algorithmic,180.0,900.0,59,0,2246,False,0.8188234
