run,task,expert_min,budget_sec,instruction_words,long_horizon,expert_budget_ratio,log_expert,pass_any__baseline,pass_rate__baseline,partial_credit__baseline,cost__baseline,budget__baseline,timeouts__baseline,skill_calls__baseline,pass_any__codezen-viable,pass_rate__codezen-viable,partial_credit__codezen-viable,cost__codezen-viable,budget__codezen-viable,timeouts__codezen-viable,skill_calls__codezen-viable,pass_any__sdd,pass_rate__sdd,partial_credit__sdd,cost__sdd,budget__sdd,timeouts__sdd,skill_calls__sdd,d_pass_any__codezen-viable,d_pass_rate__codezen-viable,d_partial_credit__codezen-viable,cost_ratio__codezen-viable,cost_delta__codezen-viable,d_pass_any__sdd,d_pass_rate__sdd,d_partial_credit__sdd,cost_ratio__sdd,cost_delta__sdd
ceiling,circuit-fibsqrt,960.0,3600.0,140,True,16.0,2.9823,1,1.0,1.0,1.5597,0.2791,0,0.0,1,1.0,1.0,2.13,0.3305,0,0.0,1,1.0,1.0,1.6408,0.2524,0,0.0,0,0.0,0.0,1.3657,0.5704,0,0.0,0.0,1.052,0.0811
ceiling,fix-ocaml-gc,1440.0,3600.0,76,True,24.0,3.1584,1,1.0,1.0,0.5334,0.1331,0,0.0,1,1.0,1.0,1.0885,0.2437,0,0.0,1,1.0,1.0,0.6164,0.2901,0,0.0,0,0.0,0.0,2.0406,0.5551,0,0.0,0.0,1.1555,0.083
ceiling,headless-terminal,120.0,900.0,108,False,8.0,2.0792,1,1.0,1.0,0.2359,0.1437,0,0.0,1,1.0,1.0,2.497,1.0,2,3.5,1,0.5,0.5,0.315,0.1741,0,1.0,0,0.0,0.0,10.5832,2.261,0,-0.5,-0.5,1.3351,0.0791
ceiling,make-mips-interpreter,480.0,1800.0,83,True,16.0,2.6812,0,0.0,0.3333,4.0054,0.8397,1,0.0,1,0.5,0.8333,5.1367,1.0,2,2.0,1,0.5,0.5,4.2538,0.9509,1,1.5,1,0.5,0.5,1.2824,1.1313,1,0.5,0.1667,1.062,0.2484
ceiling,overfull-hbox,60.0,750.0,56,False,4.8,1.7782,1,1.0,1.0,0.4797,0.2868,0,0.0,1,1.0,1.0,0.7935,0.4751,0,0.0,1,1.0,1.0,0.3116,0.1943,0,0.0,0,0.0,0.0,1.6541,0.3138,0,0.0,0.0,0.6496,-0.1681
ceiling,path-tracing-reverse,120.0,1800.0,87,False,4.0,2.0792,1,1.0,1.0,2.2506,0.4714,0,0.0,1,1.0,1.0,2.9653,0.7828,0,0.0,1,0.5,0.5,2.282,0.7196,1,0.0,0,0.0,0.0,1.3176,0.7148,0,-0.5,-0.5,1.014,0.0315
ceiling,pypi-server,60.0,900.0,136,False,4.0,1.7782,1,1.0,1.0,0.126,0.0646,0,0.0,1,1.0,1.0,0.979,0.2917,0,1.5,1,1.0,1.0,0.1576,0.0809,0,0.0,0,0.0,0.0,7.768,0.853,0,0.0,0.0,1.2506,0.0316
ceiling,schemelike-metacircular-eval,300.0,2400.0,181,True,7.5,2.4771,1,1.0,1.0,1.4822,0.3847,0,0.0,1,0.5,0.5,2.0216,0.5411,0,0.0,1,0.5,0.5,2.3399,0.4446,0,3.0,0,-0.5,-0.5,1.3639,0.5394,0,-0.5,-0.5,1.5786,0.8577
ceiling,sqlite-db-truncate,60.0,900.0,42,False,4.0,1.7782,1,1.0,1.0,0.149,0.0833,0,0.0,1,1.0,1.0,0.1504,0.0892,0,0.0,1,1.0,1.0,0.1254,0.0645,0,0.0,0,0.0,0.0,1.0098,0.0015,0,0.0,0.0,0.8418,-0.0236
ceiling,torch-pipeline-parallelism,240.0,900.0,264,True,16.0,2.3802,1,0.5,0.8333,0.5399,0.3379,0,0.0,0,0.0,0.6667,1.6398,1.0,2,1.5,1,0.5,0.5,0.4261,0.2568,0,1.0,-1,-0.5,-0.1667,3.0372,1.0999,0,0.0,-0.3333,0.7892,-0.1138
suite,adaptive-rejection-sampler,180.0,900.0,411,False,12.0,2.2553,0,0.0,0.8889,0.6551,0.4,0,0.0,1,0.5,0.9444,2.8057,1.0,2,2.5,1,0.5,0.9444,1.7557,0.9119,0,6.5,1,0.5,0.0556,4.2825,2.1505,1,0.5,0.0556,2.6799,1.1006
suite,cancel-async-tasks,120.0,900.0,88,False,8.0,2.0792,0,0.0,0.8333,0.1975,0.1139,0,0.0,1,1.0,1.0,1.3596,0.4459,0,1.5,1,0.5,0.9167,0.2215,0.1342,0,0.0,1,1.0,0.1667,6.8858,1.1622,1,0.5,0.0833,1.1218,0.024
suite,configure-git-webserver,15.0,900.0,74,False,1.0,1.1761,1,0.5,0.5,0.1088,0.0591,0,0.0,0,0.0,0.0,0.1727,0.1147,0,0.0,0,0.0,0.0,0.0628,0.0457,0,0.0,-1,-0.5,-0.5,1.5879,0.0639,-1,-0.5,-0.5,0.5773,-0.046
suite,extract-moves-from-video,120.0,1800.0,39,False,4.0,2.0792,0,0.0,0.0,0.3918,0.2336,0,0.0,0,0.0,0.0,0.0224,0.0039,0,0.0,0,0.0,0.0,0.0384,0.0118,0,0.0,0,0.0,0.0,0.0572,-0.3694,0,0.0,0.0,0.0979,-0.3534
suite,filter-js-from-html,45.0,1800.0,91,False,1.5,1.6532,0,0.0,0.0,0.4077,0.1266,0,0.0,0,0.0,0.0,6.5222,1.0,2,3.0,0,0.0,0.0,0.2835,0.0875,0,1.0,0,0.0,0.0,15.9959,6.1144,0,0.0,0.0,0.6953,-0.1242
suite,git-multibranch,180.0,900.0,154,False,12.0,2.2553,1,1.0,1.0,0.3284,0.1402,0,0.0,1,0.5,0.5,0.3207,0.1402,0,0.0,1,1.0,1.0,0.3091,0.1249,0,0.0,0,-0.5,-0.5,0.9767,-0.0077,0,0.0,0.0,0.9412,-0.0193
suite,install-windows-3.11,300.0,3600.0,152,True,5.0,2.4771,0,0.0,0.75,0.9169,0.1465,0,0.0,0,0.0,0.75,2.3636,0.2924,0,0.0,0,0.0,0.75,2.0593,0.3228,0,0.0,0,0.0,0.0,2.5779,1.4467,0,0.0,0.0,2.246,1.1425
